Gear_name,Gear_code,Habitat_s0,Habitat_s1,Habitat_s2,Habitat_s3,Habitat_d0,Habitat_d1,Habitat_d2,Habitat_d3,Habitat_DO,,,,,,,,,,,,,,,
Pots_and_traps,PT,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Purse_seine,PS,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
Associated_schools,AS,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
Longlines,LL,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
Handlines_trolling_rocks,HT,0.1,0,0.1,0,0,0,0.8,0,0,,,,,,,,,,,,,,,
NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
NA,NA,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,