Group,Inshore_harvest_ratio,Offshore_harvest_ratio,Use_1.yes_0.no,Comments
Planktivorous_fish,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Demersal_fish,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Migratory_fish,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_susp-dep,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Benthos_carn-scav,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Zooplankton_carn,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Birds,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Pinnipeds,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Cetaceans,0E+00,0E+00,1,Harvest_ratios_extracted_from_the_model_object_for_a_run_with_fleet_model_parameters_calibrated_against_known_regional_HRs
Macrophytes,0E+00,0E+00,0,No_kelp_harvesting_in_the_SPSP_model